Date,Year,Month,Quarter,Branch,ProductCategory,ProductName,UnitsSold,UnitPrice,TotalSales,COGS,Profit Margin,GrossProfit,OperatingExpenses,Expense Ratio,NetProfit,PaymentMethod,Region
26-10-2022,2022,10,Q4,Store_5,Sports,Gym Bag,5,455.84,2279.20,1666.86,26.87%,612.34,580.49,25.47%,31.85,Card,South
22-02-2022,2022,2,Q1,Store_5,Clothing,Shoes,10,309.44,3094.40,1562.36,49.51%,1532.04,606.48,19.60%,925.56,Digital Wallet,North
04-06-2023,2023,6,Q2,Store_6,Clothing,Shoes,8,347.49,2779.92,1261.85,54.61%,1518.07,578.68,20.82%,939.39,Cash,East
05-01-2024,2024,1,Q1,Store_4,Clothing,Jeans,6,374.74,2248.44,1780.77,20.80%,467.67,411.58,18.31%,56.09,Digital Wallet,East
08-01-2022,2022,1,Q1,Store_3,Toys,Action Figure,16,260.63,4170.08,2979.98,28.54%,1190.10,1203.09,28.85%,-12.99,Digital Wallet,South
26-06-2022,2022,6,Q2,Store_4,Home Decor,Table,4,317.57,1270.28,616.65,51.46%,653.63,278.24,21.90%,375.39,Card,North
23-09-2022,2022,9,Q3,Store_4,Groceries,Fruits,1,11.63,11.63,4.92,57.70%,6.71,3.49,30.01%,3.22,Card,North
11-11-2023,2023,11,Q4,Store_7,Home Decor,Lamp,18,494.21,8895.78,3651.88,58.95%,5243.90,2481.83,27.90%,2762.07,Cash,North
30-01-2023,2023,1,Q1,Store_6,Sports,Gym Bag,2,203.02,406.04,271.11,33.23%,134.93,41.44,10.21%,93.49,Cash,South
26-11-2023,2023,11,Q4,Store_4,Sports,Tennis Racket,15,49.15,737.25,457.24,37.98%,280.01,176.50,23.94%,103.51,Digital Wallet,West
01-09-2022,2022,9,Q3,Store_1,Sports,Basketball,9,491.64,4424.76,2346.56,46.97%,2078.20,651.12,14.72%,1427.08,Card,East
09-10-2022,2022,10,Q4,Store_4,Electronics,Tablet,10,242.55,2425.50,1187.36,51.05%,1238.14,395.15,16.29%,842.99,Card,East
14-10-2022,2022,10,Q4,Store_9,Sports,Running Shoes,6,311.85,1871.10,978.67,47.70%,892.43,418.75,22.38%,473.68,Card,North
30-11-2023,2023,11,Q4,Store_3,Sports,Football,13,432.19,5618.47,3136.29,44.18%,2482.18,726.81,12.94%,1755.37,Digital Wallet,South
09-03-2023,2023,3,Q1,Store_10,Clothing,Dress,7,208.52,1459.64,720.67,50.63%,738.97,296.09,20.29%,442.88,Cash,North
22-03-2023,2023,3,Q1,Store_5,Toys,Lego Set,9,74.65,671.85,522.74,22.19%,149.11,192.56,28.66%,-43.45,Card,West
04-05-2023,2023,5,Q2,Store_2,Toys,Puzzle,2,498.58,997.16,744.75,25.31%,252.41,276.11,27.69%,-23.70,Cash,North
02-08-2023,2023,8,Q3,Store_3,Electronics,Headphones,6,261.1,1566.60,1176.71,24.89%,389.89,282.49,18.03%,107.40,Cash,South
25-01-2024,2024,1,Q1,Store_9,Sports,Running Shoes,2,78.22,156.44,91.12,41.75%,65.32,21.87,13.98%,43.45,Digital Wallet,South
21-03-2023,2023,3,Q1,Store_7,Clothing,Shoes,14,404.3,5660.20,3581.17,36.73%,2079.03,911.11,16.10%,1167.92,Card,North
31-08-2022,2022,8,Q3,Store_2,Groceries,Eggs,6,54.67,328.02,139,57.62%,189.02,51.29,15.64%,137.73,Card,South
16-02-2024,2024,2,Q1,Store_9,Electronics,Tablet,6,230.2,1381.20,714.33,48.28%,666.87,396.13,28.68%,270.74,Card,South
19-07-2023,2023,7,Q3,Store_5,Toys,Lego Set,15,239.97,3599.55,1851.15,48.57%,1748.40,435.77,12.11%,1312.63,Digital Wallet,South
27-02-2022,2022,2,Q1,Store_4,Sports,Tennis Racket,12,179.29,2151.48,1100.09,48.87%,1051.39,293.86,13.66%,757.53,Digital Wallet,East
03-11-2023,2023,11,Q4,Store_1,Home Decor,Lamp,4,48.39,193.56,130.26,32.70%,63.30,26.25,13.56%,37.05,Card,West
16-07-2023,2023,7,Q3,Store_5,Toys,Puzzle,6,220.2,1321.20,710.03,46.26%,611.17,227.02,17.18%,384.15,Card,West
14-01-2022,2022,1,Q1,Store_7,Toys,Doll,17,397.48,6757.16,4807.17,28.86%,1949.99,1488.88,22.03%,461.11,Card,East
06-08-2024,2024,8,Q3,Store_3,Electronics,Headphones,10,405.53,4055.30,1903.25,53.07%,2152.05,415.11,10.24%,1736.94,Cash,South
02-07-2024,2024,7,Q3,Store_7,Toys,Puzzle,13,199.48,2593.24,1725.33,33.47%,867.91,486.88,18.77%,381.03,Card,South
18-06-2023,2023,6,Q2,Store_1,Sports,Basketball,17,200.55,3409.35,2623.34,23.05%,786.01,911.30,26.73%,-125.29,Digital Wallet,South
24-03-2023,2023,3,Q1,Store_8,Clothing,Shoes,15,16.13,241.95,172.84,28.56%,69.11,26.87,11.11%,42.24,Cash,North
29-09-2023,2023,9,Q3,Store_2,Sports,Running Shoes,17,24.25,412.25,173.45,57.93%,238.80,63.36,15.37%,175.44,Cash,South
15-06-2024,2024,6,Q2,Store_10,Sports,Running Shoes,2,297.85,595.70,317.7,46.67%,278.00,126.06,21.16%,151.94,Cash,East
22-10-2022,2022,10,Q4,Store_3,Sports,Basketball,18,64.19,1155.42,728.1,36.98%,427.32,271.11,23.46%,156.21,Cash,West
25-11-2023,2023,11,Q4,Store_6,Clothing,Jacket,13,23.76,308.88,199.94,35.27%,108.94,38.98,12.62%,69.96,Cash,South
03-03-2022,2022,3,Q1,Store_2,Clothing,Jeans,12,77.36,928.32,411.77,55.64%,516.55,117.29,12.63%,399.26,Card,East
31-08-2022,2022,8,Q3,Store_7,Toys,Action Figure,5,384.06,1920.30,1043.97,45.64%,876.33,405.26,21.10%,471.07,Card,East
01-07-2024,2024,7,Q3,Store_3,Toys,Lego Set,6,211.76,1270.56,636.26,49.92%,634.30,199.70,15.72%,434.60,Cash,East
08-09-2024,2024,9,Q3,Store_4,Home Decor,Chair,1,29.7,29.70,21.68,27.00%,8.02,4.58,15.42%,3.44,Cash,North
24-08-2023,2023,8,Q3,Store_9,Home Decor,Curtains,17,281.63,4787.71,2796.42,41.59%,1991.29,1410.74,29.47%,580.55,Cash,West
27-06-2024,2024,6,Q2,Store_9,Sports,Gym Bag,15,34.88,523.20,354.39,32.26%,168.81,114.62,21.91%,54.19,Digital Wallet,South
14-07-2023,2023,7,Q3,Store_8,Toys,Board Game,3,469.94,1409.82,835.27,40.75%,574.55,172.31,12.22%,402.24,Digital Wallet,South
11-07-2022,2022,7,Q3,Store_3,Electronics,Tablet,8,467.77,3742.16,2977.42,20.44%,764.74,698.57,18.67%,66.17,Card,East
14-09-2024,2024,9,Q3,Store_6,Electronics,Headphones,19,367.4,6980.60,3783.6,45.80%,3197.00,1672.99,23.97%,1524.01,Card,West
27-10-2023,2023,10,Q4,Store_3,Toys,Board Game,14,145.81,2041.34,1376.35,32.58%,664.99,444.20,21.76%,220.79,Digital Wallet,North
02-09-2024,2024,9,Q3,Store_5,Sports,Running Shoes,11,163.31,1796.41,1359,24.35%,437.41,398.97,22.21%,38.44,Cash,North
08-10-2024,2024,10,Q4,Store_2,Sports,Tennis Racket,17,283.03,4811.51,1960.59,59.25%,2850.92,906.81,18.85%,1944.11,Digital Wallet,West
05-10-2022,2022,10,Q4,Store_8,Clothing,Dress,16,64.47,1031.52,646.98,37.28%,384.54,114.51,11.10%,270.03,Digital Wallet,East
08-08-2023,2023,8,Q3,Store_7,Groceries,Fruits,17,139.78,2376.26,1090.78,54.10%,1285.48,704.14,29.63%,581.34,Digital Wallet,East
14-02-2022,2022,2,Q1,Store_9,Electronics,Headphones,18,260.34,4686.12,2232.03,52.37%,2454.09,613.18,13.09%,1840.91,Digital Wallet,South
03-12-2024,2024,12,Q4,Store_5,Electronics,Camera,14,102.46,1434.44,601.2,58.09%,833.24,322.55,22.49%,510.69,Digital Wallet,North
14-09-2024,2024,9,Q3,Store_8,Home Decor,Lamp,7,357.35,2501.45,1565.62,37.41%,935.83,502.92,20.11%,432.91,Card,East
12-09-2022,2022,9,Q3,Store_3,Sports,Football,5,496.4,2482.00,1061.29,57.24%,1420.71,379.20,15.28%,1041.51,Cash,North
25-08-2024,2024,8,Q3,Store_8,Sports,Tennis Racket,15,118.85,1782.75,721.75,59.51%,1061.00,441.00,24.74%,620.00,Card,West
19-11-2024,2024,11,Q4,Store_2,Clothing,Shirt,6,13.15,78.90,42.9,45.63%,36.00,17.14,21.72%,18.86,Card,South
27-03-2023,2023,3,Q1,Store_6,Toys,Board Game,13,135.32,1759.16,912.06,48.15%,847.10,377.69,21.47%,469.41,Card,South
20-11-2023,2023,11,Q4,Store_6,Clothing,Shirt,17,348.48,5924.16,4438.54,25.08%,1485.62,1244.66,21.01%,240.96,Card,South
09-10-2023,2023,10,Q4,Store_1,Toys,Lego Set,9,89.29,803.61,591.32,26.42%,212.29,213.71,26.59%,-1.42,Cash,West
28-06-2023,2023,6,Q2,Store_7,Electronics,Laptop,5,485.03,2425.15,1312.57,45.88%,1112.58,440.66,18.17%,671.92,Cash,South
30-08-2024,2024,8,Q3,Store_10,Electronics,Tablet,16,331.39,5302.24,2861.43,46.03%,2440.81,1241.06,23.41%,1199.75,Cash,East
05-07-2024,2024,7,Q3,Store_10,Clothing,Jacket,9,30.69,276.21,210.62,23.75%,65.59,60.20,21.80%,5.39,Card,East
25-07-2023,2023,7,Q3,Store_10,Toys,Puzzle,14,307.08,4299.12,1764.93,58.95%,2534.19,1038.99,24.17%,1495.20,Digital Wallet,East
21-10-2022,2022,10,Q4,Store_8,Sports,Gym Bag,1,326.25,326.25,243.12,25.48%,83.13,87.32,26.76%,-4.19,Card,West
15-12-2022,2022,12,Q4,Store_2,Home Decor,Table,17,167.38,2845.46,2099.84,26.20%,745.62,412.42,14.49%,333.20,Digital Wallet,West
15-12-2022,2022,12,Q4,Store_8,Electronics,Headphones,6,231.79,1390.74,917.59,34.02%,473.15,284.32,20.44%,188.83,Cash,West
09-01-2024,2024,1,Q1,Store_7,Groceries,Milk,16,358.11,5729.76,3386.94,40.89%,2342.82,1545.33,26.97%,797.49,Digital Wallet,South
01-04-2022,2022,4,Q2,Store_5,Home Decor,Sofa,17,377.46,6416.82,4568.89,28.80%,1847.93,934.22,14.56%,913.71,Cash,East
23-04-2024,2024,4,Q2,Store_2,Home Decor,Lamp,1,277.47,277.47,138.75,49.99%,138.72,47.43,17.09%,91.29,Digital Wallet,East
15-08-2022,2022,8,Q3,Store_3,Sports,Basketball,6,212.89,1277.34,830.82,34.96%,446.52,329.00,25.76%,117.52,Digital Wallet,South
14-11-2023,2023,11,Q4,Store_5,Electronics,Camera,11,38.03,418.33,196.58,53.01%,221.75,87.20,20.84%,134.55,Cash,North
01-08-2023,2023,8,Q3,Store_1,Sports,Running Shoes,11,258.87,2847.57,1552.47,45.48%,1295.10,347.64,12.21%,947.46,Card,West
09-04-2022,2022,4,Q2,Store_2,Electronics,Camera,17,397.54,6758.18,3556.26,47.38%,3201.92,1155.94,17.10%,2045.98,Digital Wallet,East
26-09-2023,2023,9,Q3,Store_5,Toys,Doll,6,138.25,829.50,639,22.97%,190.50,131.02,15.80%,59.48,Cash,West
26-02-2022,2022,2,Q1,Store_7,Home Decor,Lamp,14,242.59,3396.26,2580.81,24.01%,815.45,735.10,21.64%,80.35,Card,West
16-04-2022,2022,4,Q2,Store_5,Sports,Football,15,103.47,1552.05,994.36,35.93%,557.69,174.04,11.21%,383.65,Cash,North
08-11-2022,2022,11,Q4,Store_3,Toys,Puzzle,16,398.33,6373.28,4116.24,35.41%,2257.04,1293.12,20.29%,963.92,Cash,South
21-04-2022,2022,4,Q2,Store_10,Toys,Action Figure,17,114.17,1940.89,1303.04,32.86%,637.85,307.31,15.83%,330.54,Card,West
29-05-2022,2022,5,Q2,Store_9,Electronics,Laptop,2,68.37,136.74,80.66,41.01%,56.08,28.94,21.16%,27.14,Card,East
22-01-2023,2023,1,Q1,Store_8,Home Decor,Curtains,16,474.66,7594.56,5602.14,26.23%,1992.42,1834.93,24.16%,157.49,Card,West
10-12-2022,2022,12,Q4,Store_10,Sports,Tennis Racket,3,107.18,321.54,170.36,47.02%,151.18,74.19,23.07%,76.99,Digital Wallet,South
14-10-2023,2023,10,Q4,Store_9,Groceries,Bread,1,157.54,157.54,89.69,43.07%,67.85,23.84,15.13%,44.01,Digital Wallet,West
26-11-2022,2022,11,Q4,Store_4,Home Decor,Sofa,7,113.27,792.89,494.77,37.60%,298.12,88.79,11.20%,209.33,Card,West
31-12-2022,2022,12,Q4,Store_6,Home Decor,Lamp,2,99.09,198.18,80.54,59.36%,117.64,33.99,17.15%,83.65,Cash,South
28-06-2024,2024,6,Q2,Store_8,Sports,Basketball,13,470.58,6117.54,2474.21,59.56%,3643.33,830.37,13.57%,2812.96,Card,North
10-06-2022,2022,6,Q2,Store_2,Toys,Action Figure,16,140.05,2240.80,1717.63,23.35%,523.17,311.42,13.90%,211.75,Digital Wallet,South
19-08-2023,2023,8,Q3,Store_6,Clothing,Shoes,17,120.4,2046.80,934.45,54.35%,1112.35,520.95,25.45%,591.40,Card,East
20-07-2022,2022,7,Q3,Store_4,Sports,Football,15,104.77,1571.55,1047.81,33.33%,523.74,261.12,16.62%,262.62,Cash,South
08-02-2024,2024,2,Q1,Store_3,Home Decor,Lamp,8,314.16,2513.28,1329.83,47.09%,1183.45,367.82,14.64%,815.63,Card,North
11-07-2023,2023,7,Q3,Store_8,Groceries,Bread,5,292.41,1462.05,687.7,52.96%,774.35,251.76,17.22%,522.59,Digital Wallet,West
16-03-2022,2022,3,Q1,Store_8,Home Decor,Curtains,10,351.43,3514.30,2148.18,38.87%,1366.12,590.11,16.79%,776.01,Card,East
27-05-2023,2023,5,Q2,Store_5,Electronics,Smartphone,11,346.73,3814.03,2680.77,29.71%,1133.26,410.59,10.77%,722.67,Card,West
27-02-2024,2024,2,Q1,Store_7,Groceries,Bread,17,70.71,1202.07,535.87,55.42%,666.20,125.75,10.46%,540.45,Card,East
13-05-2024,2024,5,Q2,Store_8,Sports,Tennis Racket,3,203.12,609.36,290.09,52.39%,319.27,165.68,27.19%,153.59,Digital Wallet,North
12-05-2024,2024,5,Q2,Store_10,Clothing,Dress,19,498.65,9474.35,6851.31,27.69%,2623.04,2442.68,25.78%,180.36,Cash,South
24-10-2024,2024,10,Q4,Store_10,Sports,Football,17,496.74,8444.58,5186.18,38.59%,3258.40,1904.84,22.56%,1353.56,Digital Wallet,East
30-11-2024,2024,11,Q4,Store_7,Home Decor,Sofa,16,303.02,4848.32,3783.27,21.97%,1065.05,834.64,17.22%,230.41,Cash,South
12-06-2024,2024,6,Q2,Store_6,Electronics,Camera,16,153.26,2452.16,1113.35,54.60%,1338.81,690.46,28.16%,648.35,Digital Wallet,West
25-02-2024,2024,2,Q1,Store_8,Home Decor,Chair,5,120.74,603.70,439.78,27.15%,163.92,121.06,20.05%,42.86,Cash,East
30-12-2023,2023,12,Q4,Store_9,Clothing,Jacket,15,436.97,6554.55,5137.44,21.62%,1417.11,1157.72,17.66%,259.39,Digital Wallet,South
13-01-2024,2024,1,Q1,Store_4,Groceries,Fruits,18,317.18,5709.24,3853.69,32.50%,1855.55,754.36,13.21%,1101.19,Card,East
28-06-2023,2023,6,Q2,Store_7,Groceries,Rice,9,75.98,683.82,477.01,30.24%,206.81,86.97,12.72%,119.84,Digital Wallet,North
29-01-2024,2024,1,Q1,Store_4,Groceries,Milk,5,452.93,2264.65,1765.39,22.05%,499.26,643.13,28.40%,-143.87,Cash,West
17-07-2023,2023,7,Q3,Store_5,Groceries,Eggs,16,404.23,6467.68,5035.43,22.14%,1432.25,790.83,12.23%,641.42,Digital Wallet,West
29-12-2023,2023,12,Q4,Store_2,Electronics,Laptop,2,14.27,28.54,22.18,22.28%,6.36,4.73,16.57%,1.63,Digital Wallet,East
21-11-2022,2022,11,Q4,Store_5,Clothing,Jeans,6,353.89,2123.34,1558.59,26.60%,564.75,328.26,15.46%,236.49,Cash,North
26-04-2023,2023,4,Q2,Store_4,Toys,Puzzle,17,319.87,5437.79,3322.2,38.91%,2115.59,760.20,13.98%,1355.39,Digital Wallet,North
16-08-2024,2024,8,Q3,Store_2,Clothing,Jeans,8,379.34,3034.72,1264.18,58.34%,1770.54,848.13,27.95%,922.41,Card,South
12-12-2022,2022,12,Q4,Store_10,Groceries,Milk,13,262.13,3407.69,2534.15,25.63%,873.54,612.64,17.98%,260.90,Digital Wallet,East
17-12-2024,2024,12,Q4,Store_2,Home Decor,Sofa,11,48.62,534.82,385.18,27.98%,149.64,146.37,27.37%,3.27,Cash,East
20-08-2022,2022,8,Q3,Store_6,Sports,Football,9,486.62,4379.58,2898.74,33.81%,1480.84,790.27,18.04%,690.57,Cash,South
04-02-2022,2022,2,Q1,Store_8,Sports,Football,4,149.24,596.96,379.11,36.49%,217.85,120.15,20.13%,97.70,Card,North
27-05-2022,2022,5,Q2,Store_8,Sports,Basketball,16,333.01,5328.16,2774.25,47.93%,2553.91,616.51,11.57%,1937.40,Digital Wallet,East
21-07-2023,2023,7,Q3,Store_9,Electronics,Camera,15,366.37,5495.55,2754.94,49.87%,2740.61,564.81,10.28%,2175.80,Digital Wallet,South
13-02-2023,2023,2,Q1,Store_8,Electronics,Tablet,2,139.64,279.28,206.81,25.95%,72.47,49.94,17.88%,22.53,Card,North
19-07-2023,2023,7,Q3,Store_2,Electronics,Camera,1,253.3,253.30,116.63,53.96%,136.67,44.10,17.41%,92.57,Card,North
17-01-2022,2022,1,Q1,Store_7,Groceries,Fruits,17,221.69,3768.73,1963.27,47.91%,1805.46,718.10,19.05%,1087.36,Digital Wallet,South
04-05-2024,2024,5,Q2,Store_4,Toys,Doll,5,340.25,1701.25,891.08,47.62%,810.17,180.17,10.59%,630.00,Card,South
18-08-2022,2022,8,Q3,Store_9,Home Decor,Lamp,6,49.36,296.16,133.46,54.94%,162.70,78.58,26.53%,84.12,Card,West
31-07-2022,2022,7,Q3,Store_6,Groceries,Rice,18,403.37,7260.66,3505.13,51.72%,3755.53,1026.90,14.14%,2728.63,Digital Wallet,East
18-08-2023,2023,8,Q3,Store_2,Groceries,Eggs,12,360.17,4322.04,2074.69,52.00%,2247.35,1137.85,26.33%,1109.50,Card,West
05-12-2024,2024,12,Q4,Store_7,Electronics,Headphones,5,86.95,434.75,295.24,32.09%,139.51,44.71,10.28%,94.80,Card,South
20-06-2024,2024,6,Q2,Store_10,Groceries,Milk,1,462.42,462.42,313.62,32.18%,148.80,83.01,17.95%,65.79,Card,West
26-09-2024,2024,9,Q3,Store_3,Clothing,Dress,13,280.82,3650.66,1686.65,53.80%,1964.01,560.44,15.35%,1403.57,Cash,West
29-12-2022,2022,12,Q4,Store_2,Toys,Doll,4,25.4,101.60,68.1,32.97%,33.50,14.52,14.29%,18.98,Cash,South
15-06-2024,2024,6,Q2,Store_9,Clothing,Shirt,13,141.73,1842.49,1261.53,31.53%,580.96,407.66,22.13%,173.30,Digital Wallet,North
03-09-2024,2024,9,Q3,Store_5,Home Decor,Chair,4,463.76,1855.04,1105.77,40.39%,749.27,497.90,26.84%,251.37,Card,North
20-05-2023,2023,5,Q2,Store_7,Electronics,Laptop,5,96.72,483.60,248.02,48.71%,235.58,109.19,22.58%,126.39,Cash,South
08-08-2024,2024,8,Q3,Store_8,Toys,Lego Set,6,453.61,2721.66,1571.77,42.25%,1149.89,344.12,12.64%,805.77,Cash,West
08-08-2023,2023,8,Q3,Store_7,Groceries,Rice,8,201.22,1609.76,776.34,51.77%,833.42,213.22,13.25%,620.20,Digital Wallet,West
19-04-2024,2024,4,Q2,Store_9,Clothing,Shirt,19,255.28,4850.32,2043.43,57.87%,2806.89,717.91,14.80%,2088.98,Digital Wallet,West
17-08-2023,2023,8,Q3,Store_1,Clothing,Shirt,8,236.82,1894.56,1410.94,25.53%,483.62,380.44,20.08%,103.18,Card,West
20-05-2022,2022,5,Q2,Store_8,Groceries,Fruits,15,293.51,4402.65,3482.08,20.91%,920.57,774.70,17.60%,145.87,Card,North
27-05-2024,2024,5,Q2,Store_9,Groceries,Eggs,12,396.25,4755.00,3224.55,32.19%,1530.45,991.57,20.85%,538.88,Digital Wallet,West
17-01-2023,2023,1,Q1,Store_1,Toys,Lego Set,5,154.56,772.80,425.08,44.99%,347.72,139.72,18.08%,208.00,Cash,South
08-10-2022,2022,10,Q4,Store_1,Groceries,Fruits,3,363.73,1091.19,717.61,34.24%,373.58,147.98,13.56%,225.60,Digital Wallet,South
10-01-2024,2024,1,Q1,Store_4,Clothing,Jeans,12,490.14,5881.68,2565.15,56.39%,3316.53,1058.98,18.00%,2257.55,Digital Wallet,South
08-09-2022,2022,9,Q3,Store_2,Groceries,Fruits,19,191.42,3636.98,2655.2,26.99%,981.78,522.04,14.35%,459.74,Digital Wallet,South
16-01-2023,2023,1,Q1,Store_1,Electronics,Headphones,14,474.82,6647.48,2810.13,57.73%,3837.35,1036.78,15.60%,2800.57,Card,North
14-05-2024,2024,5,Q2,Store_3,Home Decor,Table,13,297.84,3871.92,2931.94,24.28%,939.98,1065.88,27.53%,-125.90,Digital Wallet,South
17-01-2023,2023,1,Q1,Store_8,Clothing,Shoes,18,85.05,1530.90,758.15,50.48%,772.75,336.85,22.00%,435.90,Cash,North
13-09-2022,2022,9,Q3,Store_1,Toys,Board Game,11,54.61,600.71,275.99,54.06%,324.72,80.09,13.33%,244.63,Digital Wallet,West
15-05-2024,2024,5,Q2,Store_6,Groceries,Eggs,5,176.85,884.25,413.39,53.25%,470.86,236.62,26.76%,234.24,Digital Wallet,West
07-05-2022,2022,5,Q2,Store_2,Clothing,Jeans,3,391.06,1173.18,474.38,59.56%,698.80,326.70,27.85%,372.10,Cash,East
25-08-2022,2022,8,Q3,Store_9,Toys,Puzzle,17,337.24,5733.08,3030.64,47.14%,2702.44,1133.77,19.78%,1568.67,Cash,East
27-11-2023,2023,11,Q4,Store_3,Groceries,Bread,13,292.13,3797.69,2395.56,36.92%,1402.13,618.32,16.28%,783.81,Digital Wallet,North
09-11-2023,2023,11,Q4,Store_6,Groceries,Bread,15,192.41,2886.15,1320.95,54.23%,1565.20,754.61,26.15%,810.59,Cash,North
09-12-2024,2024,12,Q4,Store_7,Sports,Running Shoes,12,384.81,4617.72,2739.4,40.68%,1878.32,1334.02,28.89%,544.30,Digital Wallet,North
01-10-2023,2023,10,Q4,Store_5,Home Decor,Table,10,271.38,2713.80,1450.35,46.56%,1263.45,756.12,27.86%,507.33,Digital Wallet,North
25-05-2023,2023,5,Q2,Store_9,Sports,Football,11,68.9,757.90,362.36,52.19%,395.54,117.54,15.51%,278.00,Digital Wallet,North
29-06-2024,2024,6,Q2,Store_8,Groceries,Rice,2,418.44,836.88,506.61,39.46%,330.27,206.05,24.62%,124.22,Card,South
21-12-2024,2024,12,Q4,Store_1,Home Decor,Table,5,200.17,1000.85,532.86,46.76%,467.99,166.29,16.61%,301.70,Card,East
29-07-2023,2023,7,Q3,Store_7,Clothing,Shoes,9,353.99,3185.91,1563.48,50.93%,1622.43,825.33,25.91%,797.10,Card,East
09-02-2024,2024,2,Q1,Store_7,Home Decor,Sofa,5,168.85,844.25,581.66,31.10%,262.59,211.50,25.05%,51.09,Card,South
15-06-2024,2024,6,Q2,Store_8,Toys,Lego Set,11,222.86,2451.46,1257.11,48.72%,1194.35,619.98,25.29%,574.37,Card,South
25-02-2023,2023,2,Q1,Store_4,Sports,Tennis Racket,15,241.69,3625.35,2234.4,38.37%,1390.95,596.73,16.46%,794.22,Card,North
06-11-2023,2023,11,Q4,Store_7,Clothing,Shoes,10,424.84,4248.40,3257.26,23.33%,991.14,668.51,15.74%,322.63,Cash,North
03-01-2022,2022,1,Q1,Store_2,Groceries,Eggs,19,207.06,3934.14,2560.72,34.91%,1373.42,472.22,12.00%,901.20,Digital Wallet,South
31-08-2024,2024,8,Q3,Store_5,Toys,Board Game,18,45.12,812.16,396.39,51.19%,415.77,192.20,23.67%,223.57,Cash,South
11-09-2022,2022,9,Q3,Store_6,Electronics,Laptop,6,233.88,1403.28,985.74,29.75%,417.54,419.44,29.89%,-1.90,Cash,West
24-01-2023,2023,1,Q1,Store_10,Clothing,Dress,9,427.14,3844.26,2377.59,38.15%,1466.67,582.56,15.15%,884.11,Cash,West
25-04-2024,2024,4,Q2,Store_3,Toys,Lego Set,11,310.68,3417.48,2704.14,20.87%,713.34,488.10,14.28%,225.24,Card,East
07-08-2023,2023,8,Q3,Store_10,Sports,Running Shoes,3,479.44,1438.32,648.2,54.93%,790.12,402.84,28.01%,387.28,Cash,East
28-01-2023,2023,1,Q1,Store_6,Toys,Board Game,9,475.28,4277.52,3274.55,23.45%,1002.97,500.57,11.70%,502.40,Card,West
17-07-2024,2024,7,Q3,Store_2,Home Decor,Table,1,480.07,480.07,371.92,22.53%,108.15,117.46,24.47%,-9.31,Cash,West
